date,temperature_2m_min,temperature_2m_max,temperature_2m_mean,windspeed_10m_max,windgusts_10m_max,shortwave_radiation_sum,precipitation_sum,WeatherSimple
2024-05-29,20.446726,30.043205,24.559748,16.184000000000008,35.68799999999998,21.7132,3.6705000000000023,2
2024-05-30,20.389755,30.292532,24.6913,15.612500000000006,35.55200000000001,21.57650000000002,3.715000000000003,2
2024-05-31,20.360344,30.057505,24.400816,15.650500000000006,34.053000000000004,21.069100000000002,8.4365,2
2024-06-01,20.360344,30.057505,24.400816,15.252500000000014,33.514500000000005,21.05085,7.927,2
2024-06-02,20.360344,28.020708,23.476616,16.496000000000006,36.8335,17.771199999999997,8.420999999999992,2
2024-06-03,20.265217,27.66837,23.45031,18.309499999999982,38.23349999999999,17.2177,4.910999999999994,2
2024-06-04,20.17209,27.66837,23.45031,18.40799999999998,36.496,17.413549999999994,5.213999999999993,2
2024-06-05,20.17209,27.66837,23.45031,18.87649999999998,37.19200000000005,17.516899999999993,5.337499999999992,2
2024-06-06,20.096119,28.142939,23.599045,18.949499999999972,37.42600000000006,19.31475,6.033999999999993,2
2024-06-07,19.933449,28.129438,23.633373,20.725999999999996,39.40500000000005,20.07024999999999,3.247,1
2024-06-08,19.933449,28.129438,23.633373,22.446999999999992,42.54750000000001,19.90909999999999,2.8540000000000005,1
2024-06-09,19.933449,28.129438,23.55212,23.89899999999999,44.750499999999995,19.87879999999999,1.7640000000000007,1
2024-06-10,19.988514,27.567,23.326366,27.16099999999996,52.44950000000003,17.709799999999984,2.8420000000000014,1
2024-06-11,19.988514,27.567,23.326366,27.779999999999955,54.09600000000004,17.72644999999998,2.8145000000000016,1
2024-06-12,19.956553,26.955544,22.878077,27.264499999999977,56.59350000000001,16.595149999999993,4.659500000000007,2
2024-06-13,19.93618,26.955544,22.878077,27.315999999999978,54.23100000000002,17.08305,4.293000000000003,1
2024-06-14,19.887224,27.240658,23.125332,27.70099999999996,55.09550000000003,18.566199999999995,3.073000000000001,1
2024-06-15,19.887224,27.240658,23.125332,27.801499999999965,55.435500000000026,18.572649999999992,3.029500000000001,1
2024-06-16,19.887224,27.43318,23.268196,28.438999999999947,54.250000000000064,18.903450000000003,2.1495000000000037,1
2024-06-17,19.801722,27.494255,23.37118,27.24049999999996,51.24550000000002,19.044499999999985,3.4079999999999995,1
2024-06-18,19.801722,27.494255,23.37118,26.726999999999958,49.998500000000014,18.99889999999998,3.445,1
2024-06-19,19.801722,28.634102,23.658937,25.016000000000005,48.205999999999946,19.35664999999998,2.0535000000000023,1
2024-06-20,19.801722,28.820011,23.674683,22.490000000000023,45.48699999999995,19.153399999999973,4.2105,1
2024-06-21,19.801722,28.820011,23.674683,20.907000000000018,43.47900000000001,19.008199999999977,4.4559999999999995,1
2024-06-22,19.801722,28.859581,23.674683,19.09800000000001,40.81450000000005,19.244749999999982,5.481999999999997,1
2024-06-23,19.801722,28.859581,23.743717,18.438000000000024,40.00900000000007,19.37044999999998,5.582499999999999,1
2024-06-24,19.801722,28.71299,23.688795,17.177000000000014,35.85050000000002,18.77709999999997,3.9295000000000018,2
2024-06-25,19.801722,28.71299,23.688795,15.309500000000009,31.521499999999996,18.766149999999968,4.567000000000004,2
2024-06-26,19.75484,27.761814,23.688795,17.32799999999999,37.012999999999984,18.526000000000007,3.9330000000000003,2
2024-06-27,19.757042,28.459106,23.759155,13.961500000000001,31.233500000000003,19.459400000000002,3.791500000000002,2
2024-06-28,19.757042,28.459106,23.759155,13.791500000000003,31.178500000000007,19.514400000000002,3.837000000000002,2
2024-06-29,20.056707,28.581066,23.784136,13.965500000000002,31.705999999999985,18.876850000000005,4.684499999999994,2
2024-06-30,20.056707,28.608953,23.784136,14.241999999999997,32.28949999999998,18.7731,4.012999999999995,2
2024-07-01,20.056707,28.608953,23.784136,14.244999999999996,32.367999999999974,18.741399999999995,3.6664999999999965,2
2024-07-02,19.92112,28.542116,23.443264,14.820500000000015,30.902500000000035,18.517699999999987,4.878999999999996,2
2024-07-03,19.92112,28.38824,23.443264,14.719000000000008,31.31750000000004,18.812349999999984,4.830499999999996,2
2024-07-04,19.869873,28.38824,23.37986,14.924000000000014,31.28400000000006,18.83764999999999,4.906999999999999,2
2024-07-05,19.869873,28.38824,23.37986,14.779500000000015,29.68100000000005,19.022699999999997,5.178,2
2024-07-06,19.849287,27.518448,22.803043,22.382,49.17249999999996,18.215249999999994,6.39,1
2024-07-07,19.82494,27.518448,22.803043,22.41,49.170499999999954,18.231999999999992,6.307499999999999,1
2024-07-08,19.82494,27.518448,22.803043,22.324000000000005,49.10999999999996,18.21784999999999,6.3074999999999966,1
2024-07-09,19.795925,26.635683,22.287487,25.99550000000002,51.0265,14.375049999999995,4.760499999999998,1
2024-07-10,19.795925,26.719503,22.287487,26.856500000000015,54.060499999999955,14.440499999999991,5.072499999999997,1
2024-07-11,19.795925,26.719503,22.287487,27.01150000000001,54.62449999999998,14.455499999999988,4.982999999999997,1
2024-07-12,19.795925,26.719503,22.287487,26.46500000000002,53.20149999999997,14.41754999999999,5.0284999999999975,1
2024-07-13,19.795925,25.336761,21.989876,24.58999999999999,51.822999999999965,12.463150000000008,6.7780000000000085,1
2024-07-14,19.795925,24.701202,21.597147,23.731499999999965,51.30499999999999,10.604449999999991,9.394500000000013,2
2024-07-15,19.795925,24.701202,21.597147,23.66549999999997,50.26350000000002,10.621649999999994,9.847000000000014,2
2024-07-16,19.795925,25.799274,21.898235,22.292500000000008,45.73849999999999,13.903100000000002,8.954000000000013,2
2024-07-17,19.795925,25.242685,21.901718,24.812499999999996,50.506000000000014,12.536050000000003,7.26950000000001,2
2024-07-18,19.795925,25.242685,21.901718,25.072499999999994,51.926,12.520550000000005,7.094500000000011,2
2024-07-19,19.667656,26.120848,22.342789,26.716500000000007,53.19000000000002,14.755150000000004,4.244,1
2024-07-20,19.724522,25.523054,22.342789,27.612499999999986,57.83200000000001,14.413050000000013,3.6275,1
2024-07-21,19.614103,25.249954,22.217138,27.755999999999993,59.123499999999986,12.543100000000004,4.089999999999998,1
2024-07-22,19.614103,25.249954,22.217138,27.468499999999995,58.759499999999974,12.545500000000004,3.990999999999998,1
2024-07-23,19.614103,27.243063,22.677214,24.661000000000016,50.210999999999984,17.58524999999997,3.8235000000000037,1
2024-07-24,19.614103,27.184164,22.746248,24.75950000000002,49.21049999999997,17.599699999999974,3.9010000000000025,1
