time,temperature_2m_min,temperature_2m_max,temperature_2m_mean,precipitation_sum,windspeed_10m_max,windgusts_10m_max,weathercode,shortwave_radiation_sum
2022-07-05,19.869873,28.38824,23.37986,5.251936,17.780062,37.0848,56.66579,17.644985
2022-07-06,19.869873,28.38824,23.37986,5.251936,17.780062,37.0848,56.66579,17.644985
2022-07-07,19.849287,27.518448,22.803043,7.4001966,18.181116,37.0848,56.39302,16.838179
2022-07-08,19.82494,27.518448,22.803043,5.699567,18.197805,37.0848,56.39302,15.220605
2022-07-09,19.82494,27.518448,22.803043,5.699567,18.197805,37.0848,56.39302,15.220605
2022-07-10,19.795925,26.635683,22.287487,5.857381,21.733562,45.64725,55.878174,13.618649
2022-07-11,19.795925,26.719503,22.287487,5.692726,24.766203,50.65443,56.322147,13.618649
2022-07-12,19.795925,26.719503,22.287487,3.295227,24.27793,51.21231,54.65811,14.394136
2022-07-13,19.795925,26.719503,22.287487,3.295227,24.27793,51.21231,54.65811,14.394136
2022-07-14,19.795925,25.336761,21.989876,8.904782,23.354872,49.836403,55.039783,13.189081
2022-07-15,19.795925,24.701202,21.597147,13.539281,23.644924,49.836403,57.499435,13.189081
2022-07-16,19.795925,24.701202,21.597147,13.539281,23.644924,49.836403,57.499435,13.189081
2022-07-17,19.795925,25.799274,21.898235,12.425921,23.644924,48.388298,57.180714,13.661968
2022-07-18,19.795925,25.242685,21.901718,6.5269914,24.065582,48.67339,56.50025,13.664289
2022-07-19,19.795925,25.242685,21.901718,6.5269914,24.065582,48.67339,56.50025,13.664289
2022-07-20,19.667656,26.120848,22.342789,5.811822,26.893219,51.948147,55.74678,14.094341
2022-07-21,19.724522,25.523054,22.342789,6.803899,26.893219,53.9965,55.74678,13.584105
2022-07-22,19.614103,25.249954,22.217138,7.7523694,26.931273,53.9965,55.74678,13.584105
2022-07-23,19.614103,25.249954,22.217138,7.7523694,26.931273,53.9965,55.74678,13.584105
2022-07-24,19.614103,27.243063,22.677214,9.607356,24.671606,49.83255,55.000793,17.444597
2022-07-25,19.614103,27.184164,22.746248,4.673275,25.050987,50.50699,44.713314,17.444597
2022-07-26,19.614103,27.184164,22.746248,4.673275,25.050987,50.50699,44.713314,17.444597
